1024	1024	64	1
frame 0
num = 74
656.5	214.625
337.625	261
548.688	28.3125
718.562	663.812
635.5	507.062
238.125	935
285.5	548.812
722.562	503.25
699.75	250.75
510.938	156.25
330.625	33.5
695.562	529.188
782.188	487.5
568.062	326.25
209	489
701.688	742.438
562.812	397.938
754.188	207.688
683	325.562
448.312	29.25
711.25	112.25
664.812	808.812
428.438	988.75
442.562	661
578.875	112.75
949.312	525
707.188	574.062
419.688	576.125
762.812	309.875
294.062	712.5
748.062	504.812
739.125	35.75
520.562	508.062
403.938	857.562
483.062	861.938
547.875	268.938
462.375	722.312
874.812	791.688
828	584.125
501.062	464.75
384.5	308.125
825.25	577.5
389.625	882.312
579.812	682.312
151.062	616.188
480.125	355.188
482.812	361.188
394.562	708.25
483.062	861.938
849.812	515.062
782.125	449.5
770.812	266.125
754.188	207.688
frame 5
num = 74
185.625	229.062
61.8125	315.75
212.938	161.25
160.812	355.125
227.75	135.438
35.875	854.875
159.75	481.438
150.688	55.1875
135.125	244.812
36.5625	708.5
220.625	935.125
270.25	504.375
512.625	925.5
719.562	478.812
544.75	28
387.188	176.125
475.125	390.75
723.188	663.875
224.062	528.562
465.5	92.75
577.125	113.125
569.25	65.4375
94.625	540.25
190.438	490
658.75	214
770.062	309.875
515.375	156.062
428	988.688
349.25	160.812
279.938	448.25
728.188	503.062
415.75	48.4375
587.625	517.312
565.125	325.625
268.5	548.375
208.562	860.562
324.75	33.375
633.062	437.312
559.125	397.562
686.188	325.062
635.125	507.5
713.625	250.812
494.812	464.25
790.5	487.75
464.75	722.188
419.375	576.25
335.125	257
714.875	112.375
715.062	742.188
787.938	265.188
439.688	29.0625
484.75	862.688
975.375	524.625
770.688	207.062
712	574.5
277.5	712.438
898.062	791.625
578.188	682.438
473.625	356.875
677.625	808.75
836.625	577.75
382.938	307.812
402.938	857.25
801.375	448.125
746.125	33.1875
697.562	572
434	661
382	707.938
836.75	578.125
137.312	616.125
912.938	433
388.312	882.75
871.688	515
836.625	577.75
frame 6
num = 74
209.625	135.25
193.75	160.812
16.5	854.75
146.625	481.25
111.938	245
201.875	935.188
18	708.375
728.25	664.062
507.5	925.562
689.688	808.938
253.062	504.25
169.562	490.75
660.25	214.438
385	176
575.188	113.438
466.312	722.438
540.188	27.9375
566.625	65.1875
336.812	160.812
724.375	478.75
466.812	356.312
689.5	324.812
711.5	492.625
79.125	539.875
537	107
205	528.062
819.062	448.875
250.75	549.125
427.812	988.75
488.562	464.875
468	390.75
733.812	503.188
727.75	250.312
266.5	457.625
519	155.625
846.5	578
457	92.8125
562.188	325.75
720.062	112.5
419.875	576.062
319.875	33.5
777	309.75
414.875	48.375
198.938	860.312
556.688	398.062
635.062	506.562
594.875	517.312
539.25	268.75
430.562	28.875
633.438	437.125
920.125	791.812
729.438	742.25
380.75	307.438
715.312	573.688
401.438	857.562
424.125	661.125
782.375	505.875
330.25	257.5
799	488.312
787.875	209.5
469.625	131.062
702.438	527.938
488.812	862.312
576.125	683.062
370.75	708.062
260.812	712.5
804.938	264.938
386.188	883
935.375	432.562
123.5	615.812
892.5	514.875
330.25	257.5
846.5	578
370.75	708.062
frame 7
num = 71
191.625	135.312
133.812	481.312
184	935.438
149.562	492.062
90.5625	244.375
732.188	664.188
502.188	926.125
449	92.5625
533.875	106.875
737.75	504.188
383.25	175.688
427.812	988.875
572.562	113.5
942.625	792
636	506.5
701.375	808.875
246.438	447.5
661.812	214.5
691.938	325.375
459.5	356.375
724.25	112
563.688	65.375
314.938	33.5
189.25	860
728.125	479.188
323.812	161.125
186.312	528.438
234.438	548.812
63.875	540.25
552.875	398
535.75	508.625
236.875	503.5
856.062	578.062
468.25	722.25
602.75	517.375
559.188	326.375
633.188	436.938
741.125	250.188
523.125	155.562
536.25	27.75
420.062	576.125
805.562	488.062
470.875	130.938
804.938	208.188
414.125	48.0625
912.812	515.188
720.812	573.688
706.75	528.562
379.625	307.625
400.375	857.562
422.25	28.6875
324.188	259.875
535.688	268.75
742.5	742.75
716.562	493.375
359	708.688
415.438	660.875
784.562	309.5
574	683.062
244.125	712.75
797.562	505.812
490.375	861.188
822.188	264.375
856.062	578.062
958.75	432.75
836.625	449
110.812	615.812
384.875	882.875
482.188	465.125
63.5625	542.125
418.188	437.625
frame 8
num = 70
166.125	935.375
67.625	244.75
497.375	926.375
737.25	664.125
427.438	988.938
230.938	447.5
964.188	791.938
529.562	106.938
550.438	397.625
609.562	517.562
556.75	326
130.375	493.5
441.625	92.8125
996.938	798.562
179.438	860.188
754.875	249.938
381.25	175.625
712.062	808.688
569.938	113.125
742.438	503.875
218	548.75
561.125	65.4375
311.625	160.75
633.5	437.125
732.5	479.875
320.312	260.875
